processed_reviews,sentiment
awesom kindl easi transport love clear screen,1
wouldnt connect internet tri home coupl wifi spot store bought,0
cheap run chrome stuff return store,0
use roku coupl year start go bad decid tri someth new replac roku amazon fire work great look good portabl easi hook,1
price may attract worth buy see tab like ipad nexus other wouldnt will use display pixel touch smooth good custom appsgam though way instal android app build qualiti good though,0
would recommend anybodi take back three time still would hook tvs poor custom servic,0
serious great one,1
debat firetv appl ultim went firetv due price work great easi set easi navig buffer issu,1
work perfect quick fun use music sound great,1
kindl user year expect certain level qualiti version fall short constant freez,0
product wouldnt turn charg store couldnt locat anoth one,0
amazon fire best stream devic money buy cancel cox directv program pay work smooth good internet servic cabl modem best devic market stream movi show keep buy famili,1
kindl nice wife avid reader like screen qualiti truth like pigeonhol amazon everi book stori near everyth great declin eas use various function need find put exist librari amazon order use kindl ridicul annoy anoth good product sad limit due monopoli,1
miss googl app sideload yet display accept amazon prime nice interfac use,1
need gooooood wifi wifi isnt good like work good also need app set alexa would recommend great wifi,0
case answer yes amazon beat googl long shot googl product doesnt match amazon done great job integr home secur product well hue nest etc top voic recognit second none your amazon account holder order your prime member access music anyway get prime also play well app like pandora great beat googl hand,1
great one year old babyh love play game watch movi,1
buy tablet grandchildren go initi setup procedurethat surpris learn use tablet year would charg fee continu select program use yeartim take back store hidden fee,0
life saver recent cross countri flight nice worri three year old rough know great amazon warranti,1
desktop home let know what go time,1
could get work chromecast return,0
problem includ kindl paperwhit way charg paperwhit unless buy charger charg port paperwhit small noth alreadi work kindl even provid usb cabl charg comput outlet plug cheep plastic hollow probabl break warranti,0
work fine month refus take charg return best buy advis amazon like handl warranti issu stuck store credit card suppos get use impress product,0
bought fire excit support first night refus load video content could stream music refus load complet stop respond remot remot feel cheap,0
third power charger buy cost sinc kindl fire purchas cant charger last reason amount time connect charger receiv messag say low level charger probabl would charg kindl use accept cost,0
bought black friday sale price attract didnt find attract youtub stream stream slow take min stream singl song,0
price high found custom servic best buy north myrtl beach littl patienc question enough question answer later found best buy polici,0
look lowpric tablet access kindl magazin app specif economist didnt realiz advers kindl remov ad would possibl fee wors there limit around app everyth locat googl play store app like economist avail sooooo return,0
good tablet fast durabl easi use especi love parent featur avail fan android tablet littl toodler far better,1
decent product much your use android softwar cant get photo save googl half music collect vanish memori card insert basic hack thing get app outsid amazon reliabl poor exchang android tablet,0
need basic tablet fire work fall apart compar ipad mini usabl function avail app standpoint,0
got son love good travel,1
bought kindl gift year old grand daughter one absolut love read book surf web also read person email great product great price easi use,1
bought tablet children love parent control set well fast volum louder mani tablet handl make great watch video game play would definit recommend product would purchas,1
tablet use lose page quit often back find also lose internet connect unabl connect money find accept ideal,0
love product stylish easi use wife,1
pretti tangerin color first tablet bad earphon jack second product would connect wifi matter tri tablet work finew order anoth amazon fire tablet,0
depend use dollar tablet extrem game high recommend devic better light use safe side use day day batteri averag run faster heat play game tight budget use anoth major problem almost app would get iphon android availab amazon fire appstor way download exampl clash clan race rival decid withdraw amazon contract delt game amazon app store bigger titl omg even snapchat,0
purchas one christma gift best buy lineit work fine first monthdid use week went turn ondid get noth lefthand bottom corner say fastbooth mode lock get noth elsedid buy product protect guess complet loss,0
make phone way big cant fit pocket,0
must amazon paid servic play music cloud must set mobil app portabl connect fire took get use get command right chang nest thermostat must use app instal parti skill app control smart devic,0
love old kindl year drop power button doesnt like work lot time took advantag black friday deal replac one go,1
return product compat thing facebook itun need great book stream movi,0
littl price paid good buy kid prefer amazon tablet kid involv read,1
love silver color larger screen also easi navig,1
look inexpens tablet help daughter becom comfort use technolog tablet offer great parent control give abil watch play age appropri show game,1
fast reliabl tablet get past thw advertis pay remov could afford might well get one without advertis,1
realli love amazon fire use most stream netflix havent gotten amazon episod yet also use watch movi amazon account pictur qualiti great havent issu stream buffer freez occur month weve devic like parent control featur requir put code watch someth complet electron savvi havent realli tri featur yet googl chromecast well goto travel tvs home happi got firetv remot use phone tablet great purchas,1
purchas father law frustrat experi user friend friend stick name brand tablet appl samsung etc avoid devic cost,0
glad purchas amazon kindl paperwhit blackit realli easi use,1
got mine month main use read pdf document card onedr tablet noth like review said freez everi time press home next page even close internet page load fulli time half page load disappoint,0
purchas cyber monday worth alexa new best friend,1
perfect,1
happi purchas amazon fire easi use dont know watch without,1
return didnt work like thought suppos pain butt,0
grandson love play everyday papa love,1
work well fast respons saw quad core micro card snap couldnt happier,1
ipad fire price cant beat fire ipad fraction cost,1
simpl use great beginn buy one son,1
gave gift individu excit would recommend anyon interest wifi,1
surpris find come type charg cord purchas one found sprint htc charger faster would purchas item ive ever like ive purchas amazon,0
amazon fire tablet nice tablet theyr especi great stream movi sinc kindl great book littl odd internet browser still littl limit app store overal great littl tablet,1
great read netflix fit nice purs good price,1
worst product ever constant screw fill ad pay remov best buy refus help want return,0
tabl overal day wouldnt work warranti best buy wast noth,0
compat south african plug standard bought unnecessarili,0
tablet would never turn even charg,0
love talk anoth system dont use look remot bad thing echo sometim understand ask even fun,1
best person home assist also first head start googl offer,1
bought replac year old kindl fire hdx drop floor sort panick coupl hour research pick tablet safe side got addit memori instal coupl game none memori hog cookbook app addit download coupl book dictionari honest say slowest tablet ive ever rotat screen take second that there one app open open book magazin take half minut god help want switch recip magazin your cook amazon obvious concern show constant special offer app satisfi custom sinc fire tablet avail whatev reason mayb theyr discontinu ill replac either ipad galaxi tablet,0
havent abl use full potenti cant wait,1
purchas son think would good beginn tablet wrong couldnt even get set use comment may user set everi electron devic purchas children compter cell phone lap top game system tablet would connect wifi even took across town think could tri still noth mayb defaulti equip sat right besid perfect wifi son sat right besid perfect wifi,0
got mine right look previous generat except kindl logo black time feel littl heavier screen littl warmer tone previous one resolut much better ppi definit obvious new font worth moneytot recommend book loveril give star instead use cooler screen sure ill get use one soon happi,0
didnt work well go mode return back menu screen fire would show black screen unplug start back menu screen isnt like shield better item mile use resourc fire app close play video run problem black screen,0
dont care live great otherwis cant ditch cord yet,0
money tablet amaz piec hardwar well construct good fit finish good batteri lifebut put nonamazon softwar tablet pain real paini purchas granddaught want two thing youtub skype took hour put two app tablet end return tablet purchas insignia hous brand tablet instead,0
nice tablet love read book kid profil option excel,1
wife love fire one older model grade new model feel love right away,1
great product easi use play news weather music game,1
tablet gift old love larger tabl love get job done,1
jetson final technolog imagin watch episod jetson,1
good tablet simpl use like read book music simpl task,1
lot free game plus book read awesom dont even use phone much tablet price cant beat,1
love easi set navig intuit great access music upload amazon prime music alexa work well play paus music show,1
one thing issu withi would leav amazon speaker play sinc alway listen butat time would cut itselfwithout command anoth issu would phone say may sound close command accord speaker would automat light command someth dont know like idea listen time,0
devic great advertis mani thing expect lot troubl otherwis,0
amazon echo easi setup straight box famili began use immedi learn new thing everi week sound qualiti amaz becom primari music sourc hous purchas would prefer black echo white best buy time xmas white look clean kitchen counter sit word alexa still struggl understand bit texa drawl think get use,1
sub charger give quicker charg kindl amazon appl charger,1
good tablet babykeep busi love,1
load app goggl play didnt know amazon goggl dont agreement sharg,0
over impress system didnt realiz buy amazon prime order use function didnt connect easili phone wouldnt stream music save iphon download music app load music app wouldnt work way much work ad expens order use wasnt happi return purchas jbl portabl bluetooth speaker,0
qualiti screen display lack reason return tablet adult user recommend,0
amazon forefront content offer sever show hdr isnt stream player capabl display fps boot obvious built price youv alreadi shell money wouldnt want abl display capabl roku present far superior product,0
